"Historical price chart data"
"Date: 01/01/2016 - 02/09/2016"
"AEX-INDEX"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"NL0000000107","Euronext Amsterdam","27/01/2016","421.39","424.41","416.99","424.41","0.00","0.00","1587306701.85","EUR"
"NL0000000107","Euronext Amsterdam","28/01/2016","423.50","427.12","416.92","420.10","0.00","0.00","2053023945.84","EUR"
"NL0000000107","Euronext Amsterdam","29/01/2016","426.48","431.28","421.99","431.28","0.00","0.00","1951716177.28","EUR"
"NL0000000107","Euronext Amsterdam","01/02/2016","433.85","433.85","425.61","429.68","0.00","0.00","1540963644.09","EUR"
"NL0000000107","Euronext Amsterdam","02/02/2016","428.50","428.50","417.77","420.65","0.00","0.00","1781093547.64","EUR"
"NL0000000107","Euronext Amsterdam","03/02/2016","419.82","422.70","411.32","416.21","0.00","0.00","2098261443.38","EUR"
"NL0000000107","Euronext Amsterdam","04/02/2016","422.80","424.53","415.91","417.94","0.00","0.00","2425440812.85","EUR"
"NL0000000107","Euronext Amsterdam","05/02/2016","417.25","420.45","412.72","413.94","0.00","0.00","2095762986.84","EUR"
"NL0000000107","Euronext Amsterdam","08/02/2016","415.83","416.47","398.57","400.61","0.00","0.00","2151711362.04","EUR"
"NL0000000107","Euronext Amsterdam","09/02/2016","401.52","403.62","388.64","392.58","0.00","0.00","2478425404.12","EUR"
"NL0000000107","Euronext Amsterdam","10/02/2016","395.17","400.90","391.06","394.63","0.00","0.00","2066057591.92","EUR"
"NL0000000107","Euronext Amsterdam","11/02/2016","390.63","390.63","378.53","382.61","0.00","0.00","2206055135.90","EUR"
"NL0000000107","Euronext Amsterdam","12/02/2016","387.54","391.86","385.24","391.86","0.00","0.00","2048948490.13","EUR"
"NL0000000107","Euronext Amsterdam","15/02/2016","400.87","405.56","399.44","403.96","0.00","0.00","1499764811.63","EUR"
"NL0000000107","Euronext Amsterdam","16/02/2016","407.20","408.15","401.15","403.27","0.00","0.00","1581546371.51","EUR"
"NL0000000107","Euronext Amsterdam","17/02/2016","404.70","414.75","403.98","414.75","0.00","0.00","1815011067.58","EUR"
"NL0000000107","Euronext Amsterdam","18/02/2016","416.41","419.00","412.55","413.79","0.00","0.00","1795453841.77","EUR"
"NL0000000107","Euronext Amsterdam","19/02/2016","413.77","416.07","408.80","411.96","0.00","0.00","1984620654.02","EUR"
"NL0000000107","Euronext Amsterdam","22/02/2016","416.53","421.54","416.53","420.69","0.00","0.00","1480565450.25","EUR"
"NL0000000107","Euronext Amsterdam","23/02/2016","417.77","420.47","415.42","415.43","0.00","0.00","1422636027.27","EUR"
"NL0000000107","Euronext Amsterdam","24/02/2016","414.86","415.37","405.60","407.52","0.00","0.00","1610521586.56","EUR"
"NL0000000107","Euronext Amsterdam","25/02/2016","413.89","418.95","411.61","415.38","0.00","0.00","1438958909.48","EUR"
"NL0000000107","Euronext Amsterdam","26/02/2016","420.40","425.81","419.64","422.66","0.00","0.00","1712539258.67","EUR"
"NL0000000107","Euronext Amsterdam","29/02/2016","419.39","427.81","418.06","427.27","0.00","0.00","1620965350.23","EUR"
"NL0000000107","Euronext Amsterdam","01/03/2016","426.79","436.81","425.83","436.81","0.00","0.00","1755823137.59","EUR"
"NL0000000107","Euronext Amsterdam","02/03/2016","439.60","439.81","432.34","436.31","0.00","0.00","1686099242.18","EUR"
"NL0000000107","Euronext Amsterdam","03/03/2016","437.88","437.88","431.98","433.95","0.00","0.00","1570462671.22","EUR"
"NL0000000107","Euronext Amsterdam","04/03/2016","436.31","440.74","434.89","437.99","0.00","0.00","1637616000.99","EUR"
"NL0000000107","Euronext Amsterdam","07/03/2016","437.02","438.62","433.04","436.00","0.00","0.00","1363668924.79","EUR"
"NL0000000107","Euronext Amsterdam","08/03/2016","433.36","436.18","429.88","432.89","0.00","0.00","1397904968.12","EUR"
"NL0000000107","Euronext Amsterdam","09/03/2016","433.66","438.16","433.07","435.56","0.00","0.00","1492270066.09","EUR"
"NL0000000107","Euronext Amsterdam","10/03/2016","436.75","449.62","430.18","430.18","0.00","0.00","2737803176.88","EUR"
"NL0000000107","Euronext Amsterdam","11/03/2016","437.96","442.99","436.80","441.75","0.00","0.00","1815248145.55","EUR"
"NL0000000107","Euronext Amsterdam","14/03/2016","444.52","447.03","441.98","444.08","0.00","0.00","1514459675.31","EUR"
"NL0000000107","Euronext Amsterdam","15/03/2016","441.64","443.19","439.57","442.00","0.00","0.00","1520429861.37","EUR"
"NL0000000107","Euronext Amsterdam","16/03/2016","443.70","445.39","440.64","443.83","0.00","0.00","1502679559.24","EUR"
"NL0000000107","Euronext Amsterdam","17/03/2016","447.25","447.35","435.73","444.06","0.00","0.00","1989302844.84","EUR"
"NL0000000107","Euronext Amsterdam","18/03/2016","445.76","446.35","442.05","444.79","0.00","0.00","3622952828.18","EUR"
"NL0000000107","Euronext Amsterdam","21/03/2016","441.77","446.98","441.06","443.83","0.00","0.00","1306623104.50","EUR"
"NL0000000107","Euronext Amsterdam","22/03/2016","441.89","443.12","437.05","443.12","0.00","0.00","1444317289.19","EUR"
"NL0000000107","Euronext Amsterdam","23/03/2016","443.46","445.59","440.94","443.36","0.00","0.00","1320216344.89","EUR"
"NL0000000107","Euronext Amsterdam","24/03/2016","439.95","440.98","435.85","437.49","0.00","0.00","1261451465.73","EUR"
"NL0000000107","Euronext Amsterdam","29/03/2016","439.88","442.82","438.00","440.37","0.00","0.00","1178446851.97","EUR"
"NL0000000107","Euronext Amsterdam","30/03/2016","442.28","448.82","442.28","446.24","0.00","0.00","1541961175.00","EUR"
"NL0000000107","Euronext Amsterdam","31/03/2016","444.05","444.05","439.58","440.11","0.00","0.00","1506363291.98","EUR"
"NL0000000107","Euronext Amsterdam","01/04/2016","434.86","434.91","428.51","434.48","0.00","0.00","1845664216.44","EUR"
"NL0000000107","Euronext Amsterdam","04/04/2016","433.19","439.95","430.84","436.08","0.00","0.00","1372485992.95","EUR"
"NL0000000107","Euronext Amsterdam","05/04/2016","430.28","430.96","426.75","428.85","0.00","0.00","1520123079.04","EUR"
